TIMESLOT,Year,Month,Day,Season,DayOfWeek,IsHoliday,Prediction
17:10,2025,1,26,3,6,True,3830.624781138686
17:15,2025,1,26,3,6,True,3830.624781138686
17:20,2025,1,26,3,6,True,3830.624781138686
17:25,2025,1,26,3,6,True,3830.624781138686
17:30,2025,1,26,3,6,True,3830.624781138686
17:35,2025,1,26,3,6,True,3830.624781138686
17:40,2025,1,26,3,6,True,3830.624781138686
17:45,2025,1,26,3,6,True,3830.624781138686
17:50,2025,1,26,3,6,True,3830.624781138686
17:55,2025,1,26,3,6,True,3830.624781138686
18:00,2025,1,26,3,6,True,3830.624781138686
18:05,2025,1,26,3,6,True,3830.624781138686
18:10,2025,1,26,3,6,True,3830.624781138686
18:15,2025,1,26,3,6,True,3830.624781138686
18:20,2025,1,26,3,6,True,3830.624781138686
18:25,2025,1,26,3,6,True,3830.624781138686
18:30,2025,1,26,3,6,True,3830.624781138686
18:35,2025,1,26,3,6,True,3830.624781138686
18:40,2025,1,26,3,6,True,3830.624781138686
18:45,2025,1,26,3,6,True,3830.624781138686
18:50,2025,1,26,3,6,True,3830.624781138686
18:55,2025,1,26,3,6,True,3830.624781138686
19:00,2025,1,26,3,6,True,3830.624781138686
19:05,2025,1,26,3,6,True,3830.624781138686
19:10,2025,1,26,3,6,True,3830.624781138686
19:15,2025,1,26,3,6,True,3830.624781138686
19:20,2025,1,26,3,6,True,3830.624781138686
19:25,2025,1,26,3,6,True,3830.624781138686
19:30,2025,1,26,3,6,True,3830.624781138686
19:35,2025,1,26,3,6,True,3830.624781138686
19:40,2025,1,26,3,6,True,3830.624781138686
19:45,2025,1,26,3,6,True,3830.624781138686
19:50,2025,1,26,3,6,True,3830.624781138686
19:55,2025,1,26,3,6,True,3830.624781138686
20:00,2025,1,26,3,6,True,3830.624781138686
20:05,2025,1,26,3,6,True,3830.624781138686
20:10,2025,1,26,3,6,True,3830.624781138686
20:15,2025,1,26,3,6,True,3830.624781138686
20:20,2025,1,26,3,6,True,3830.624781138686
20:25,2025,1,26,3,6,True,3830.624781138686
20:30,2025,1,26,3,6,True,3830.624781138686
20:35,2025,1,26,3,6,True,3830.624781138686
20:40,2025,1,26,3,6,True,3830.624781138686
20:45,2025,1,26,3,6,True,3819.780136407711
20:50,2025,1,26,3,6,True,3819.780136407711
20:55,2025,1,26,3,6,True,3819.780136407711
21:00,2025,1,26,3,6,True,3816.9378008189674
21:05,2025,1,26,3,6,True,3816.9378008189674
21:10,2025,1,26,3,6,True,3816.9378008189674
21:15,2025,1,26,3,6,True,3816.9378008189674
21:20,2025,1,26,3,6,True,3816.9378008189674
21:25,2025,1,26,3,6,True,3816.9378008189674
21:30,2025,1,26,3,6,True,3816.9378008189674
21:35,2025,1,26,3,6,True,3816.9378008189674
21:40,2025,1,26,3,6,True,3816.9378008189674
21:45,2025,1,26,3,6,True,3806.5848521487
21:50,2025,1,26,3,6,True,3799.7692426962203
21:55,2025,1,26,3,6,True,3782.0955867107114
22:00,2025,1,26,3,6,True,3764.3444276795744
22:05,2025,1,26,3,6,True,3712.153278134111
22:10,2025,1,26,3,6,True,3616.710663016358
22:15,2025,1,26,3,6,True,3484.943054319633
22:20,2025,1,26,3,6,True,3451.9236812066556
22:25,2025,1,26,3,6,True,3428.059786431686
22:30,2025,1,26,3,6,True,3391.7970147525007
22:35,2025,1,26,3,6,True,3328.98087948567
22:40,2025,1,26,3,6,True,3287.798944483087
22:45,2025,1,26,3,6,True,3234.8418559156275
22:50,2025,1,26,3,6,True,3215.444616511949
22:55,2025,1,26,3,6,True,3168.972769074057
23:00,2025,1,26,3,6,True,3057.601874209942
23:05,2025,1,26,3,6,True,3010.014987563583
23:10,2025,1,26,3,6,True,2966.1667226365153
23:15,2025,1,26,3,6,True,2922.1339238851388
23:20,2025,1,26,3,6,True,2903.0284290883255
23:25,2025,1,26,3,6,True,2820.276210677791
23:30,2025,1,26,3,6,True,2782.8583980776316
23:35,2025,1,26,3,6,True,2764.781728043686
23:40,2025,1,26,3,6,True,2747.3630020243286
23:45,2025,1,26,3,6,True,2731.8808595076493
23:50,2025,1,26,3,6,True,2731.8808595076493
23:55,2025,1,26,3,6,True,2731.8808595076493
